keyword,market,format,data_points,recent_12w_mean,prior_12w_mean,velocity_pct,yoy_pct,last_value,peak_52w,nonzero_weeks_52w,top_regions,source_file
Alpha Direct,CH,weekly,262,0.92,7.17,-87.2,91.7,6.0,86.0,3.0,,trends_raw/Alpha_Direct__CH.csv
Alpha Direct,US,weekly,262,71.25,52.17,36.6,547.7,26.0,100.0,52.0,,trends_raw/Alpha_Direct__US.csv
Klettersteig,CH,weekly,262,28.25,6.33,346.1,0.0,42.0,80.0,43.0,,trends_raw/Klettersteig__CH.csv
Klettersteig,US,weekly,262,10.83,2.42,348.3,35.4,9.0,53.0,11.0,,trends_raw/Klettersteig__US.csv
Skitour,CH,weekly,262,11.92,31.0,-61.6,-2.7,2.0,45.0,40.0,,trends_raw/Skitour__CH.csv
Skitour,US,weekly,262,0.67,0.0,66.7,66.7,4.0,54.0,4.0,,trends_raw/Skitour__US.csv
Trailrunning,CH,weekly,262,57.83,27.25,112.2,3.7,57.0,100.0,49.0,,trends_raw/Trailrunning__CH.csv
Trailrunning,US,weekly,262,27.25,24.5,11.2,124.0,36.0,94.0,21.0,,trends_raw/Trailrunning__US.csv
bikepacking,CH,weekly,262,61.25,43.5,40.8,2.2,52.0,94.0,51.0,,trends_raw/bikepacking__CH.csv
bikepacking,US,weekly,262,81.42,56.42,44.3,34.0,68.0,100.0,52.0,,trends_raw/bikepacking__US.csv
recycled down,CH,region,1,,,,,100.0,,,Zurich (100),trends_raw/recycled_down__CH.csv
recycled down,US,weekly,262,58.42,22.67,157.7,390.2,9.0,100.0,52.0,,trends_raw/recycled_down__US.csv
ultralight sleeping bag,CH,region,2,,,,,100.0,,,"Vaud (100), Zurich (100)",trends_raw/ultralight_sleeping_bag__CH.csv
ultralight sleeping bag,US,weekly,262,64.0,23.67,170.4,140.8,38.0,100.0,50.0,,trends_raw/ultralight_sleeping_bag__US.csv
